BusinessProcessName,Level,TextDe,TextFr,TextIt,TaxonomyName
fpbpgHaltungHeimtiere_BP1,1,Säugetiere,Mammifères,Mammiferi,fpbpgHaltungHeimtiere_BP1fpg11Säugetiere
fpbpgHaltungHeimtiere_BP1,2,Hund,Chien,Cane,fpbpgHaltungHeimtiere_BP1fpg11SäugetiereHund
fpbpgHaltungHeimtiere_BP1,2,Katze,Chat,Gatto,fpbpgHaltungHeimtiere_BP1fpg11SäugetiereKatze
fpbpgHaltungHeimtiere_BP1,2,Kaninchen,Lapin,Coniglio,fpbpgHaltungHeimtiere_BP1fpg11SäugetiereKaninchen
fpbpgHaltungHeimtiere_BP1,2,Kleinsäuger (Ratte, Maus, Meerschweinchen, Hamster, andere Nager, Insektenfresser),Petits mammifères (rat, souris, cochon d'Inde, hamster, autres rongeurs, insectivores),Piccoli mammiferi (ratto, topo, porcellino d'India, criceto, altri roditori, insettivori,fpbpgHaltungHeimtiere_BP1fpg11SäugetiereKleinsäuger
fpbpgHaltungHeimtiere_BP1,2,Andere Säugetiere,Autres mammifères ,Altri mammiferi ,fpbpgHaltungHeimtiere_BP1fpg11SäugetiereAndereSäugetiere
fpbpgHaltungHeimtiere_BP1,1,Vögel,Oiseaux,Uccelli,fpbpgHaltungHeimtiere_BP1fpg11Vögel
fpbpgHaltungHeimtiere_BP1,2,Psittaziden,Psittacidés ,Psittacidi ,fpbpgHaltungHeimtiere_BP1fpg11VögelPsittaziden
fpbpgHaltungHeimtiere_BP1,2,Andere Ziervögel (Singvögel etc.),Autres oiseaux d'ornement (passereaux etc.),Altri uccelli ornamentali (uccelli canori ecc.),fpbpgHaltungHeimtiere_BP1fpg11VögelAndereZiervögel
fpbpgHaltungHeimtiere_BP1,2,Ziergeflügel (Hühnervögel),Volailles d'ornement (galliformes),Volatili ornamentali (gallinacei),fpbpgHaltungHeimtiere_BP1fpg11VögelZiergeflügel
fpbpgHaltungHeimtiere_BP1,2,Zierwassergeflügel (Gänsevögel),Volailles d'ornement aquatiques (ansériformes),Volatili acquatici ornamentali (palmipedi),fpbpgHaltungHeimtiere_BP1fpg11VögelZierwassergeflügel
fpbpgHaltungHeimtiere_BP1,2,Tauben,Colombidés ,Piccioni ,fpbpgHaltungHeimtiere_BP1fpg11VögelTauben
fpbpgHaltungHeimtiere_BP1,2,Andere Vögel,Autres oiseaux,Altri uccelli,fpbpgHaltungHeimtiere_BP1fpg11VögelAndereVögel
fpbpgHaltungHeimtiere_BP1,1,Reptilien,Reptiles,Rettili,fpbpgHaltungHeimtiere_BP1fpg11Reptilien
fpbpgHaltungHeimtiere_BP1,2,Schildkröten,Tortues,Tartarughe,fpbpgHaltungHeimtiere_BP1fpg11ReptilienSchildkröten
fpbpgHaltungHeimtiere_BP1,2,Echsen,Sauriens,Sauri ,fpbpgHaltungHeimtiere_BP1fpg11ReptilienEchsen
fpbpgHaltungHeimtiere_BP1,2,Schlangen,Serpents,Serpenti,fpbpgHaltungHeimtiere_BP1fpg11ReptilienSchlangen
fpbpgHaltungHeimtiere_BP1,1,Amphibien,Amphibiens ,Anfibi ,fpbpgHaltungHeimtiere_BP1fpg11Amphibien
fpbpgHaltungHeimtiere_BP1,2,Amphibien,Amphibiens,Anfibi,fpbpgHaltungHeimtiere_BP1fpg11AmphibienAmphibien
fpbpgHaltungHeimtiere_BP1,1,Fische,Poissons,Pesci,fpbpgHaltungHeimtiere_BP1fpg11Fische
fpbpgHaltungHeimtiere_BP1,2,Zierfische,Poissons d'ornement,Pesci ornamentali,fpbpgHaltungHeimtiere_BP1fpg11FischeZierfische
fpbpgHaltungHeimtiere_BP1,2,Teichfische,Poissons d'étang,Pesci di stagno,fpbpgHaltungHeimtiere_BP1fpg11FischeTeichfische
